,url,sentiment,isExperiential,isPolitical,isInsult,topics
1375781448662269954,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/nasuhbektas/status/1375781448662269954&entry.653903203=26617&usp=pp_url
",Neutral,No,Yes,Yes,['News']
1565827079182098438,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/chanyalcnkaya/status/1565827079182098438&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,Yes,"['Democracy', 'Election']"
1596913997189910528,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Ziraate15bin/status/1596913997189910528&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,Yes,"['News', 'Democracy', 'Election', 'Nationalsecurity']"
1598019748507578368,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Muratibrahim34/status/1598019748507578368&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Democracy', 'Crime&justice', 'Nationalsecurity']"
1588957357945786369,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/polatgdogu/status/1588957357945786369&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,Yes,"['Nationalsecurity', 'Minorities&discrimination']"
1597334233470898176,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/cemkayali1977/status/1597334233470898176&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Election', 'Terrorism', 'Nationalsecurity']"
1588915997859545089,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/MalcokFatih/status/1588915997859545089&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Nationalsecurity']"
1444926725683662849,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Oduncu84931459/status/1444926725683662849&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Nationalsecurity']"
1403771880985800711,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/CryptoSopranoo/status/1403771880985800711&entry.653903203=26617&usp=pp_url
",Positive,Yes,No,No,"['News', 'Economy']"
1588492119488233472,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/DogsComputerCh1/status/1588492119488233472&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Crime&justice', 'Terrorism', 'Nationalsecurity']"
1388235183653011462,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/tbzoc/status/1388235183653011462&entry.653903203=26617&usp=pp_url
",Neutral,No,No,No,['Sports']
1588568792984346624,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Maviruh_/status/1588568792984346624&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,Yes,['Education']
1395669357645209602,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/jungkookorjk/status/1395669357645209602&entry.653903203=26617&usp=pp_url
",Neutral,Yes,No,No,"['Music&TV', 'News']"
1593650643041918978,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/helyalina/status/1593650643041918978&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,Yes,"['Terrorism', 'Nationalsecurity', 'Foreignpolicy']"
1583749765694906368,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Lavin94453679/status/1583749765694906368&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Democracy', 'Election']"
1593643382257188864,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/gkedaa/status/1593643382257188864&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,Yes,"['Unemployment', 'Education']"
1597897371677265920,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/LeVixit/status/1597897371677265920&entry.653903203=26617&usp=pp_url
",Neutral,No,Yes,Yes,"['News', 'Corruption', 'Nationalsecurity']"
1587879005721706497,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ReyhanErten5/status/1587879005721706497&entry.653903203=26617&usp=pp_url
",Neutral,No,Yes,Yes,['Crime&justice']
1551163840368414722,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/SED58417690/status/1551163840368414722&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,Yes,"['News', 'Education', 'Democracy']"
1597636855067181059,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/MuratKoseMamak/status/1597636855067181059&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['Corruption', 'Crime&justice']"
1595839569081122816,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/elifGm91571989/status/1595839569081122816&entry.653903203=26617&usp=pp_url
",Neutral,Yes,No,No,['Music&TV']
1568714098241687552,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/batukoy/status/1568714098241687552&entry.653903203=26617&usp=pp_url
",Negative,Yes,No,Yes,"['News', 'Economy']"
1425702359380922368,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Mustafa_1681/status/1425702359380922368&entry.653903203=26617&usp=pp_url
",Positive,Yes,No,No,['Sports']
1364675204321001480,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/melisasilvaa/status/1364675204321001480&entry.653903203=26617&usp=pp_url
",Positive,No,No,No,['Sports']
1588192708417527809,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/sbkabd2/status/1588192708417527809&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,No,"['Unemployment', 'Education']"
1595478503927037972,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Kemal08131613/status/1595478503927037972&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,No,['Economy']
1594242562537443331,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/300ccc300/status/1594242562537443331&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Crime&justice']"
1375802325412020227,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/KU_Bilim/status/1375802325412020227&entry.653903203=26617&usp=pp_url
",Neutral,No,No,No,['Advertisement']
1427746815420604417,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/venxzhan/status/1427746815420604417&entry.653903203=26617&usp=pp_url
",Negative,Yes,No,Yes,['Music&TV']
1435953064310198280,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ekilesi/status/1435953064310198280&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,Yes,"['News', 'Democracy', 'Election']"
1436451657177513986,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/WelcomeToCnYt/status/1436451657177513986&entry.653903203=26617&usp=pp_url
",Neutral,Yes,No,No,['Music&TV']
1596763432598269954,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Yusuf24001365/status/1596763432598269954&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Democracy', 'Election', 'Immigration&refugees', 'Minorities&discrimination']"
1558772057726492672,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Abdulla48930214/status/1558772057726492672&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,Yes,"['Unemployment', 'Health']"
1373951306054963203,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/biricikbeyaz/status/1373951306054963203&entry.653903203=26617&usp=pp_url
",Positive,Yes,No,Yes,"['Religion', 'News']"
1575191375548600320,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/nalc_rabia/status/1575191375548600320&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,No,"['News', 'Economy', 'Unemployment']"
1583394585371234304,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/hakankaleli/status/1583394585371234304&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['Election', 'Immigration&refugees', 'Minorities&discrimination']"
1550489937652457476,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/DndTanr1/status/1550489937652457476&entry.653903203=26617&usp=pp_url
",Neutral,No,Yes,No,['Foreignpolicy']
1571966189764579332,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ghostsolgiers/status/1571966189764579332&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Education']"
1367571642604544000,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/BakiDiren/status/1367571642604544000&entry.653903203=26617&usp=pp_url
",Positive,Yes,No,No,"['Advertisement', 'News', 'Inflation&poverty']"
1585204799582384129,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ahi04267658/status/1585204799582384129&entry.653903203=26617&usp=pp_url
",Neutral,No,Yes,No,"['Democracy', 'Election', 'Foreignpolicy']"
1596147426670571520,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Alya5101/status/1596147426670571520&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,No,['News']
1562040771506757634,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/CeyoTeyo111/status/1562040771506757634&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Election']"
1587694921431060481,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/CekerErkan/status/1587694921431060481&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['Corruption', 'Democracy', 'Election']"
1569589330544398336,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/AhSuCilginUzman/status/1569589330544398336&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Unemployment', 'Terrorism']"
1576653232323317760,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/beththemac/status/1576653232323317760&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,No,"['News', 'Unemployment', 'Health']"
1357951159953145856,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/drahmetrasim/status/1357951159953145856&entry.653903203=26617&usp=pp_url
",Neutral,No,No,No,"['News', 'Health']"
1382853161405329411,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Bahtiya25086408/status/1382853161405329411&entry.653903203=26617&usp=pp_url
",Neutral,No,No,No,"['Music&TV', 'Advertisement', 'News']"
1583477966373543936,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/tr3424910214991/status/1583477966373543936&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['Democracy', 'Election', 'Crime&justice', 'Immigration&refugees', 'Nationalsecurity']"
1355177928926101511,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/burakdemirci32/status/1355177928926101511&entry.653903203=26617&usp=pp_url
",Neutral,No,No,No,['News']
1374101396711116802,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/by_typewriter/status/1374101396711116802&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,No,"['Religion', 'News']"
1585634359612420101,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/mustafasenol45/status/1585634359612420101&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,No,"['News', 'Democracy', 'Election']"
1394625237690503168,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/hklsnrabia/status/1394625237690503168&entry.653903203=26617&usp=pp_url
",Neutral,Yes,No,No,"['Music&TV', 'News']"
1592064209915117569,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/BuketGner/status/1592064209915117569&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Terrorism', 'Minorities&discrimination']"
1588284008504299520,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/kenan_akila/status/1588284008504299520&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,No,"['News', 'Unemployment', 'Democracy']"
1364135022823944192,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/HalukyY/status/1364135022823944192&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,No,"['News', 'Crime&justice']"
1572327037574041602,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ozguradamTurk/status/1572327037574041602&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,No,"['News', 'Election', 'Nationalsecurity', 'Foreignpolicy']"
1598001470951288832,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Muharre06139468/status/1598001470951288832&entry.653903203=26617&usp=pp_url
",Negative,Yes,Yes,Yes,"['News', 'Economy', 'Democracy', 'Election']"
1589003458950008832,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/alco_secil/status/1589003458950008832&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,No,"['Economy', 'Unemployment', 'Education']"
1583371535708217346,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/asena93843322/status/1583371535708217346&entry.653903203=26617&usp=pp_url
",Neutral,Yes,Yes,No,"['Election', 'Crime&justice']"
1565312596135354373,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Nursela60044416/status/1565312596135354373&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,No,"['Education', 'Democracy', 'Election']"
1585534006904455168,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/aydinmsavas/status/1585534006904455168&entry.653903203=26617&usp=pp_url
",Positive,Yes,No,No,"['Terrorism', 'Nationalsecurity']"
1585184052730302464,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/mge_kurt/status/1585184052730302464&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,No,"['News', 'Democracy', 'Election']"
1368640076129972225,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/BurakSAL14/status/1368640076129972225&entry.653903203=26617&usp=pp_url
",Positive,Yes,Yes,No,"['Music&TV', 'Nationalsecurity']"
1596176251919958020,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/veisoglu/status/1596176251919958020&entry.653903203=26617&usp=pp_url
",Positive,Yes,No,No,"['News', 'Economy']"
